author,paper_id,year,venue
Shigen Shen,142,2025,"IEEE Transactions on Dependable and Secure Computing, Vol. 22, No. 6, November/December 2025"
Tao Hong,142,2025,"IEEE Transactions on Dependable and Secure Computing, Vol. 22, No. 6, November/December 2025"
Yizhou Shen,142,2025,"IEEE Transactions on Dependable and Secure Computing, Vol. 22, No. 6, November/December 2025"
Xiaoping Wu,142,2025,"IEEE Transactions on Dependable and Secure Computing, Vol. 22, No. 6, November/December 2025"
Jingnan Dong,142,2025,"IEEE Transactions on Dependable and Secure Computing, Vol. 22, No. 6, November/December 2025"
Jie Wu,142,2025,"IEEE Transactions on Dependable and Secure Computing, Vol. 22, No. 6, November/December 2025"
Andrew Thomas,143,2026,"Applied AI Letters 2026 (Letter; received 14 March 2025, accepted 26 October 2025)"
Matthew Yates,143,2026,"Applied AI Letters 2026 (Letter; received 14 March 2025, accepted 26 October 2025)"
Oliver Osborne,143,2026,"Applied AI Letters 2026 (Letter; received 14 March 2025, accepted 26 October 2025)"
Laurin Holz,144,2025,IEEE NetSoft 2025 (2025 IEEE 11th International Conference on Network Softwarization)
Johannes Loevenich,144,2025,IEEE NetSoft 2025 (2025 IEEE 11th International Conference on Network Softwarization)
Roberto Rigolin F. Lopes,144,2025,IEEE NetSoft 2025 (2025 IEEE 11th International Conference on Network Softwarization)
Saad Alqithami,145,2025,AAAI Summer Symposium Series (SuSS-25) 2025
Jiayi Chen,146,2026,"AAAI 2026 (copyright notice ""© 2026, Association for the Advancement of Artificial Intelligence""); arXiv preprint"
Jing Li,146,2026,"AAAI 2026 (copyright notice ""© 2026, Association for the Advancement of Artificial Intelligence""); arXiv preprint"
Guiling Wang,146,2026,"AAAI 2026 (copyright notice ""© 2026, Association for the Advancement of Artificial Intelligence""); arXiv preprint"
Chuangchuang Sun,147,2021,"Not specified (arXiv:2109.06795v1, 14 Sep 2021)"
Dong-Ki Kim,147,2021,"Not specified (arXiv:2109.06795v1, 14 Sep 2021)"
Jonathan P. How,147,2021,"Not specified (arXiv:2109.06795v1, 14 Sep 2021)"
Rupert Mitchell,148,2020,"Not specified (arXiv:2012.00508v1 [cs.RO], 1 Dec 2020)"
Jan Blumenkamp,148,2020,"Not specified (arXiv:2012.00508v1 [cs.RO], 1 Dec 2020)"
Amanda Prorok,148,2020,"Not specified (arXiv:2012.00508v1 [cs.RO], 1 Dec 2020)"
James Tu,149,2021,"Not specified (arXiv:2101.06560v2, 12 Oct 2021)"
Tsunhsuan Wang,149,2021,"Not specified (arXiv:2101.06560v2, 12 Oct 2021)"
Jingkang Wang,149,2021,"Not specified (arXiv:2101.06560v2, 12 Oct 2021)"
Sivabalan Manivasagam,149,2021,"Not specified (arXiv:2101.06560v2, 12 Oct 2021)"
Mengye Ren,149,2021,"Not specified (arXiv:2101.06560v2, 12 Oct 2021)"
Raquel Urtasun,149,2021,"Not specified (arXiv:2101.06560v2, 12 Oct 2021)"
Shaocong Ma,150,2023,"Journal of Machine Learning Research (JMLR) 24, 2023"
Ziyi Chen,150,2023,"Journal of Machine Learning Research (JMLR) 24, 2023"
Shaofeng Zou,150,2023,"Journal of Machine Learning Research (JMLR) 24, 2023"
Yi Zhou,150,2023,"Journal of Machine Learning Research (JMLR) 24, 2023"
Simin Li,152,2024,"Neural Networks (Preprint, 2024)"
Jun Guo,152,2024,"Neural Networks (Preprint, 2024)"
Jingqiao Xiu,152,2024,"Neural Networks (Preprint, 2024)"
Yuwei Zheng,152,2024,"Neural Networks (Preprint, 2024)"
Pu Feng,152,2024,"Neural Networks (Preprint, 2024)"
Xin Yu,152,2024,"Neural Networks (Preprint, 2024)"
Jiakai Wang,152,2024,"Neural Networks (Preprint, 2024)"
Aishan Liu,152,2024,"Neural Networks (Preprint, 2024)"
Yaodong Yang,152,2024,"Neural Networks (Preprint, 2024)"
Bo An,152,2024,"Neural Networks (Preprint, 2024)"
Wenjun Wu,152,2024,"Neural Networks (Preprint, 2024)"
Xianglong Liu,152,2024,"Neural Networks (Preprint, 2024)"
Sihong He,154,2023,"Not specified (arXiv:2209.08230v2, 27 Sep 2023)"
Yue Wang,154,2023,"Not specified (arXiv:2209.08230v2, 27 Sep 2023)"
Shuo Han,154,2023,"Not specified (arXiv:2209.08230v2, 27 Sep 2023)"
Shaofeng Zou,154,2023,"Not specified (arXiv:2209.08230v2, 27 Sep 2023)"
Fei Miao,154,2023,"Not specified (arXiv:2209.08230v2, 27 Sep 2023)"
Anonymous authors,155,2023,Under review as a conference paper at ICLR 2023
Maxwell Standen,156,2023,"Not specified (arXiv preprint, 2023)"
Junae Kim,156,2023,"Not specified (arXiv preprint, 2023)"
Claudia Szabo,156,2023,"Not specified (arXiv preprint, 2023)"
Guanlin Liu,157,,Not specified (arXiv preprint)
Lifeng Lai,157,,Not specified (arXiv preprint)
Jeremy McMahan,159,2024,"ICML 2024 (Proceedings of the 41st International Conference on Machine Learning, PMLR 235)"
Giovanni Artiglio,159,2024,"ICML 2024 (Proceedings of the 41st International Conference on Machine Learning, PMLR 235)"
Qiaomin Xie,159,2024,"ICML 2024 (Proceedings of the 41st International Conference on Machine Learning, PMLR 235)"
Martin Figura,161,2021,"Not specified (arXiv:2103.06967 [eess.SY], 11 Mar 2021)"
Krishna Chaitanya Kosaraju,161,2021,"Not specified (arXiv:2103.06967 [eess.SY], 11 Mar 2021)"
Vijay Gupta,161,2021,"Not specified (arXiv:2103.06967 [eess.SY], 11 Mar 2021)"
Xusheng Zhang,165,2023,ICLR 2023 (Tiny Papers Track)
Wei Zhang,165,2023,ICLR 2023 (Tiny Papers Track)
Yishu Gong,165,2023,ICLR 2023 (Tiny Papers Track)
Liangliang Yang,165,2023,ICLR 2023 (Tiny Papers Track)
Jianyu Zhang,165,2023,ICLR 2023 (Tiny Papers Track)
Zhengyu Chen,165,2023,ICLR 2023 (Tiny Papers Track)
Sihong He,165,2023,ICLR 2023 (Tiny Papers Track)
Yijing Xie,167,,Not specified (arXiv preprint; eess.SY)
Shaoshuai Mou,167,,Not specified (arXiv preprint; eess.SY)
Shreyas Sundaram,167,,Not specified (arXiv preprint; eess.SY)
Jan Blumenkamp,168,2020,CoRL 2020 (4th Conference on Robot Learning)
Amanda Prorok,168,2020,CoRL 2020 (4th Conference on Robot Learning)
Lei Yuan,169,2024,"Frontiers of Computer Science 2024, 18(6): 186331"
Feng Chen,169,2024,"Frontiers of Computer Science 2024, 18(6): 186331"
Zongzhang Zhang,169,2024,"Frontiers of Computer Science 2024, 18(6): 186331"
Yang Yu,169,2024,"Frontiers of Computer Science 2024, 18(6): 186331"
Eleni Nisioti,174,2021,"Not specified (Copyright © 2021, AAAI; likely an AAAI-affiliated workshop/conference paper)"
Daan Bloembergen,174,2021,"Not specified (Copyright © 2021, AAAI; likely an AAAI-affiliated workshop/conference paper)"
Michael Kaisers,174,2021,"Not specified (Copyright © 2021, AAAI; likely an AAAI-affiliated workshop/conference paper)"
Wenshuai Zhao,176,2025,"Not specified (arXiv:2309.14792v2 [cs.RO], 28 Feb 2025)"
Eetu-Aleksi Rantala,176,2025,"Not specified (arXiv:2309.14792v2 [cs.RO], 28 Feb 2025)"
Sahar Salimpour,176,2025,"Not specified (arXiv:2309.14792v2 [cs.RO], 28 Feb 2025)"
Joni Pajarinen,176,2025,"Not specified (arXiv:2309.14792v2 [cs.RO], 28 Feb 2025)"
Jorge Peña-Queralta,176,2025,"Not specified (arXiv:2309.14792v2 [cs.RO], 28 Feb 2025)"
Haejoon Lee,179,2025,"Not specified (arXiv:2504.03120v3 [eess.SY], 10 Sep 2025)"
Dimitra Panagou,179,2025,"Not specified (arXiv:2504.03120v3 [eess.SY], 10 Sep 2025)"
Xunhao Wu,181,2023,"Not specified (Preprint submitted to Automatica; arXiv:2309.01201v1 [math.OC], 3 Sep 2023)"
Jun Fu,181,2023,"Not specified (Preprint submitted to Automatica; arXiv:2309.01201v1 [math.OC], 3 Sep 2023)"
Niklas Lauffer,182,2025,NeurIPS 2025
Ameesh Shah,182,2025,NeurIPS 2025
Micah Carroll,182,2025,NeurIPS 2025
Sanjit A. Seshia,182,2025,NeurIPS 2025
Stuart Russell,182,2025,NeurIPS 2025
Michael Dennis,182,2025,NeurIPS 2025
Yasir Arfat,184,2016,"International Journal of Information Technology and Computer Science (IJITCS), Vol.8, No.9, pp.39-48, 2016 (MECS Press)"
Fathy Elbouraey Eassa,184,2016,"International Journal of Information Technology and Computer Science (IJITCS), Vol.8, No.9, pp.39-48, 2016 (MECS Press)"
Hairi,185,2024,IFIP 2024 (ISBN 978-3-903176-65-2; published via IEEE Xplore)
Minghong Fang,185,2024,IFIP 2024 (ISBN 978-3-903176-65-2; published via IEEE Xplore)
Zifan Zhang,185,2024,IFIP 2024 (ISBN 978-3-903176-65-2; published via IEEE Xplore)
Alvaro Velasquez,185,2024,IFIP 2024 (ISBN 978-3-903176-65-2; published via IEEE Xplore)
Jia Liu,185,2024,IFIP 2024 (ISBN 978-3-903176-65-2; published via IEEE Xplore)
Chao Gao,186,2018,ICLR 2018 (Workshop track)
Martin Müller,186,2018,ICLR 2018 (Workshop track)
Ryan Hayward,186,2018,ICLR 2018 (Workshop track)
Lili Su,189,2021,"IEEE Transactions on Automatic Control, Vol. 66, No. 5, May 2021"
Nitin H. Vaidya,189,2021,"IEEE Transactions on Automatic Control, Vol. 66, No. 5, May 2021"
Qinghua Liu,190,2022,"Not specified (arXiv:2203.06803v4, 14 Jun 2022)"
Yuanhao Wang,190,2022,"Not specified (arXiv:2203.06803v4, 14 Jun 2022)"
Chi Jin,190,2022,"Not specified (arXiv:2203.06803v4, 14 Jun 2022)"
Young Wu,192,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence)
Jeremy McMahan,192,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence)
Xiaojin Zhu,192,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence)
Qiaomin Xie,192,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence)
Michal Yemini,193,2025,"Not specified (arXiv:2212.02459v3, cs.RO, 14 Jan 2025; partially presented at IEEE Conference on Decision and Control [1])"
Angelia Nedić,193,2025,"Not specified (arXiv:2212.02459v3, cs.RO, 14 Jan 2025; partially presented at IEEE Conference on Decision and Control [1])"
Andrea J. Goldsmith,193,2025,"Not specified (arXiv:2212.02459v3, cs.RO, 14 Jan 2025; partially presented at IEEE Conference on Decision and Control [1])"
Stephanie Gil,193,2025,"Not specified (arXiv:2212.02459v3, cs.RO, 14 Jan 2025; partially presented at IEEE Conference on Decision and Control [1])"
