paper_id,year,venue,n_authors,authors,affiliation,robustness_type,method_paradigm
99,,Not specified (appears to be a workshop/conference paper; page numbers 115–122),6,Jun Guo; Yonghong Chen; Yihang Hao; Zixin Yin; Yin Yu; Simin Li,"State Key Lab of Software Development Environment, Beihang University, Beijing, China; Yangzhou Collaborative Innovation Research Institute CO., LTD; No. 38 Research Institute of CETC","State/observation perturbation, action perturbation (adversarial policy / ""traitor"" agent), and reward perturbation (reward poisoning / reward flipping) in cooperative MARL","Robustness testing / adversarial attacks as a testing framework; gradient-based attack (FGSM), reward poisoning, adversarial policy; multi-aspect (state/action/reward) evaluation motivated by the MMDP formulation"
100,2023,NeurIPS 2023 (Track on Datasets and Benchmarks),8,Benjamin Ellis; Jonathan Cook; Skander Moalla; Mikayel Samvelyan; Mingfei Sun; Anuj Mahajan; Jakob N. Foerster; Shimon Whiteson,University of Oxford; University College London; Meta AI; University of Manchester; EPFL,Generalisation to unseen scenarios / stochasticity (procedurally generated team compositions and start positions); meaningful partial observability (stochastic enemy-observation masking in the EPO challenge). No adversarial/attack threat model in the classic robust-MARL sense.,Benchmark design / procedural content generation (PCG); analysis of open-loop vs closed-loop policies; Q-value inferrability regression analysis; not a robust-training algorithm.
101,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems),6,Xuehai Pan; Mickel Liu; Fangwei Zhong; Yaodong Yang; Song-Chun Zhu; Yizhou Wang,"School of Computer Science, Peking University; Center on Frontiers of Computing Studies, Peking University; School of Intelligence Science and Technology, Peking University; Institute for Artificial Intelligence, Peking University; Beijing Institute for General Artificial Intelligence (BIGAI); Department of Automation, Tsinghua University",Robustness to adversarial / non-stationary opponents and policy generalization (over-fitting to fixed opponents in distributed target coverage); robustness probed via variable agent populations (scalability) and trainable adversarial target agents; reduction of policy exploitability. (Benchmark environment rather than a robustness-specific algorithm.),"Benchmark / environment design; asymmetric two-team stochastic (cooperative-competitive zero-sum) game; self-play and population-based training (PSRO-Nash, Fictitious Self-Play, asymmetric self-play); exploitability as a robustness measure; CTDE MARL baselines"
102,2023,"Not specified (preliminary technical report; arXiv:2107.01460v2, 15 Dec 2023)",8,Ruan de Kock; Omayma Mahjoub; Sasha Abramowitz; Wiem Khlifi; Callum Rhys Tilbury; Claude Formanek; Andries Smit; Arnu Pretorius,InstaDeep,"Not specified (this is a software/library report; ""robust"" here refers to statistically robust benchmarking and reliable evaluation of MARL experiments, not adversarial/model-uncertainty robustness)",Research software library / engineering framework (JAX-based distributed MARL; Anakin podracer architecture; CTDE and DTDE multi-agent PPO)
103,2024,Neural Processing Letters 2024 (Vol. 56:161),4,Harsha Putla; Chanakya Patibandla; Krishna Pratap Singh; P Nagabhushan,"Department of Information Technology, Indian Institute of Information Technology, Allahabad, Uttar Pradesh, India; Vignan's Foundation for Science, Technology & Research, Guntur, Andhra Pradesh, India","Observation poisoning (adversarial perturbation of the observation space via dataset/data poisoning); attacks injected into the offline ""teacher dataset"" used for selective reincarnation","Empirical robustness/vulnerability evaluation (attack-based stress testing); no defense proposed; rank-correlation analysis with Kendall's tau and an ""Overall Vulnerability"" metric"
104,,Not specified (IEEE publication; downloaded from IEEE Xplore),3,Chunliang Wu; Zhenliang Ma; Inhi Kim,"Institute of Transport Studies, Department of Civil Engineering, Monash University, Clayton, VIC, Australia","Environment/traffic uncertainty (stochastic traffic flow / random arrivals, varying traffic demand patterns), state/observation perturbation (noisy/uncertain sensor data), and system disturbances in the online traffic environment","Decentralized multi-agent deep RL (independent learners), Q-learning / Deep Q-Network (DQN) with dueling architecture, transfer learning (offline-to-online) for robustness evaluation"
105,2022,"2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS) 2022",2,Aizaz Sharif; Dusica Marijan,"Simula Research Laboratory, Oslo, Norway",Non-stationarity from multi-agent interaction (other autonomous cars and pedestrians changing the environment); robustness/generalization of trained single-agent-style policies when deployed in single- vs. multi-agent urban driving scenarios. No explicit adversarial/uncertainty-set threat model.,Empirical benchmarking / comparative evaluation of model-free DRL algorithms; multi-objective reward design; no new robust-learning algorithm proposed.
106,2024,"Not specified (arXiv:2309.11057v2 [cs.RO], 23 Sep 2024)",7,Zhili Zhang; H. M. Sabbir Ahmad; Ehsan Sabouni; Yanchao Sun; Furong Huang; Wenchao Li; Fei Miao,"University of Connecticut (CSE); Boston University (Systems Engineering & ECE); University of Maryland, College Park (CS)","State/observation uncertainty (noisy sensor measurements, state estimation, V2X communication) for the observed locations/velocities of other vehicles, plus hard safety (collision-free) constraints under such uncertainty.",Hierarchical control; robust MARL via worst-case Q network augmenting MAPPO (RMAPPO); model predictive control (MPC) with robust Control Barrier Functions (CBFs); CTDE.
107,2026,"Not specified (arXiv preprint arXiv:2506.00982v3 [cs.RO], 12 May 2026)",8,Keshawn Smith; Zhili Zhang; H M Sabbir Ahmad; Ehsan Sabouni; Mainak Mondal; Song Han; Wenchao Li; Fei Miao,University of Connecticut (School of Computing; Dept. of ECE); Boston University (Dept. of ECE),"Communication latency (delayed and asynchronous V2V message passing), state/observation perturbation, model uncertainties and state estimation errors, safety constraints (collision avoidance), sim-to-real (sim-to-hardware) gap.","Robust MARL (robust PPO with a worst-case Q network), delay-aware training, Control Barrier Function (CBF)-based safety shield (QP-filtered safe action enforcement), domain-randomization comparison, CTDE."
108,2025,"NEUTC / USDOT Final Research Report, June 2025",2,Fei Miao; Song Han,"University of Connecticut (in cooperation with U.S. Department of Transportation, OST-R; New England University Transportation Center)","State/observation uncertainty (noisy sensor measurements, state estimation, communication medium); perturbed observations of other vehicles; sim-to-real gap; safety constraints (collision avoidance)","Robust MARL (worst-case Q network), MAPPO, CTDE, hierarchical control, model predictive control (MPC) with robust Control Barrier Functions (CBFs)"
110,2025,"IET Radar, Sonar & Navigation 2025 (Vol. 19, e70033)",3,Chuyao Wang; Ziwei Wang; Nabil Aouf,"Department of Engineering, School of Science and Technology, City St George's, University of London, London, UK",State/observation perturbation (white-box adversarial attacks on each agent's camera observations and on shared/communicated observations); safety constraints; sensor errors / environment uncertainty in cooperative self-driving.,Robust constrained MARL; adversarial training with worst-case (max-min) objective; mean-field communicated multi-agent actor-critic; risk estimation network; constrained optimisation via Lagrangian duality; control barrier function (CBF); KL/total-variation divergence regulariser; multi-agent PPO.
111,2022,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) 2022,6,Eduardo Candela; Leandro Parada; Luis Marques; Tiberiu-Andrei Georgescu; Yiannis Demiris; Panagiotis Angeloudis,"Centre for Transport Studies, Department of Civil and Environmental Engineering, Imperial College London, UK; Personal Robotics Laboratory, Department of Electrical and Electronic Engineering, Imperial College London, UK","Environment/model uncertainty and the sim-to-real (reality) gap in multi-agent autonomous driving (dynamics/model mismatch, asynchronous agent stepping, measurement noise, hardware variability between robots)",Domain randomization during MARL training; CTDE on-policy actor-critic (MAPPO); empirical sim-to-real transfer
113,2026,"IEEE Transactions on Industrial Informatics, Vol. 22, No. 1, January 2026",4,Tianjiao Pu; Shuai Du; Lei Dong; Ji Qiao,"China Electric Power Research Institute, Beijing, China; North China Electric Power University, Beijing, China",Environment/model uncertainty in state transition probability (source-load fluctuations of renewable generation and load); distributionally robust formulation with an adversary that perturbs the transition distribution; safety constraints (constrained MDP / CVaR).,Distributionally robust constrained MDP (DR-CMDP); adversarial safe RL (max-min / minimax); Wasserstein GAN with gradient penalty (WGAN-GP) as adversary; CVaR risk-sensitive constraint; constrained policy optimization (CPO); cooperative/coalition game theory (Shapley / Aumann-Shapley value) for multiagent convergence.
114,2026,"Protection and Control of Modern Power Systems, Vol. 11, No. 1, January 2026",6,Meng Tian; Xiaoxu Li; Ziyang Zhu; Zhengcheng Dong; Li Gong; Jingang Lai,"School of Automation, Wuhan University of Technology (Wuhan, China); Electronic Information School, Wuhan University (Wuhan, China); School of Artificial Intelligence and Automation, Huazhong University of Science and Technology (Wuhan, China)","State/observation perturbation (noisy/contaminated measurements of voltage and power-flow profile in distribution grids, caused by instrument errors and transmission noise), together with safety constraints (voltage limits)","Safe deep RL / constrained MDP (CMDP) with Lagrange multipliers; multi-agent actor-critic (MADDPG, CTDE); adversarial state attacker (C-MRC); robust regulation loss (worst-case / minimax over perturbed states)"
115,2025,"Preprint submitted to Energy and AI, 2025 (not peer reviewed)",3,Chijioke Eze; Chetan Prakash; Antonello Monti,"Institute for Automation of Complex Power Systems, RWTH Aachen University; Faculty of Computer Science, RWTH Aachen University; Fraunhofer FIT, Sankt Augustin, Germany",Topology robustness (radial vs. looped/meshed network topologies); robustness to network-structure changes; observation/sensor measurement noise (Gaussian); scalability across network sizes. Note: this is application-domain robustness (power grid topology) rather than adversarial / worst-case robust MARL.,"Topology-aware MARL with Graph Neural Network policy networks (GCN / GAT / GGCN), value decomposition via centralized critic, CTDE, MADDPG-based deterministic policy gradient"
116,2025,"ECAI 2025 (European Conference on Artificial Intelligence, Main Track)",3,Mian Ibad Ali Shah; Enda Barrett; Karl Mason,"School of Computer Science, University of Galway, Ireland","Environment/model uncertainty (stochastic renewable generation and dynamic load); aleatoric prediction uncertainty in forecasts; risk-sensitive decision-making under variability. (Not adversarial; ""robustness"" is empirical resilience of trading decisions to forecast/renewable uncertainty.)",Uncertainty-aware probabilistic forecasting (heteroscedastic transformer) combined with multi-agent reinforcement learning (independent DQN); double-auction market mechanism; uncertainty quantification injected into state and reward.
117,2024,"IEEE Internet of Things Journal, Vol. 11, No. 13, 1 July 2024",3,Arman Ghasemi; Amin Shojaeighadikolaei; Morteza Hashemi,"University of Kansas, Lawrence, KS, USA (Department / Graduate School of Electrical Engineering and Computer Science)","Environment/state uncertainty in a smart-grid setting — imperfect and uncertain state information from renewable energy sources (wind generation uncertainty, PV generation uncertainty), locational marginal price (LMP) uncertainty, dynamic retail price fluctuation, and demand-side uncertainty. Robustness here means coping with these uncertainties (via forecasting + partial observability), not adversarial perturbation in the classic robust-MARL sense.",Multiagent deep RL (DDPG actor-critic) combined with LSTM time-series forecasting; two-level (bi-level) optimization; decentralized agents with partial observability; uncertainty handled by forecasting and price-history observation rather than minimax/worst-case.
118,2021,"IEEE Transactions on Smart Grid, Vol. 12, No. 6, November 2021",6,Hangyue Liu; Cuo Zhang; Qingmian Chai; Ke Meng; Qinglai Guo; Zhao Yang Dong,"School of Electrical Engineering and Telecommunications, University of New South Wales (Sydney, Australia); Department of Electrical Engineering, Tsinghua University (Beijing, China)",Environment/operational uncertainty — spatial and temporal uncertainties of photovoltaic (PV) power generation and loads in active distribution networks (intervals/scenarios around predicted PV output and demand; not adversarial),Multi-agent deep deterministic policy gradient (MADDPG) under centralized training / decentralized execution; stochastic programming (Monte Carlo scenario generation) embedded in the reward; behavior cloning + expert target Q estimation + prioritized experience replay
121,2023,"2023 IEEE Industry Applications Society Annual Meeting (IAS), 2023 (DOI: 10.1109/IAS54024.2023.10406423)",2,M. Nasir Uddin; Yazdan H. Tabrizi,"Dept. of Electrical Engineering, Lakehead University, LU-GC program, Barrie, ON, Canada","Renewable-resource and load uncertainty in micro-grid energy management (uncertainty/variability in wind and solar generation and demand). ""Robust"" is used informally to mean a reliable, economical, environment-friendly power-management system; no formal adversarial / distributional / model-uncertainty robustness setting is defined.","Data-driven forecasting (multi-layer recurrent neural network) + model-free value-based MARL (stochastic game, Q-learning); not an adversarial/minimax robust-MARL formulation."
122,2022,"IEEE Transactions on Smart Grid, Vol. 13, No. 4, July 2022",4,Ziqing Zhu; Ka Wing Chan; Shiwei Xia; Siqi Bu,"Department of Electrical Engineering, The Hong Kong Polytechnic University, Hong Kong SAR, China; State Key Laboratory of Alternate Electrical Power System With Renewable Energy Sources, North China Electric Power University, Beijing, China","Reward-function uncertainty driven by net-load (renewable distributed generation + load) prediction error; risk of financial penalty from day-ahead/real-time imbalance (""risk of misconduct""). Modeled as an uncertainty set on the net-load prediction error governed by a ""nature"" agent.","Robust Nash equilibrium (RNE), multi-agent DDPG (actor-critic), minimax / worst-case (max over policy, min over uncertainty), nature player, fully distributed training via estimated policy functions (EPF)"
123,2025,"Not specified (arXiv preprint, arXiv:2512.18558v1 [eess.SY], 21 Dec 2025)",5,Shuwei Pei; Joran Borger; Arda Kosay; Muhammed O. Sayin; Saeed Ahmed,"Jan C. Willems Center for Systems and Control, ENTEG, University of Groningen, the Netherlands; Department of Electrical, Electronics Engineering, Bilkent University, Ankara, Turkey",Demand/environment distribution shift in traffic signal control (worst-case over a finite set of heterogeneous traffic-demand scenarios); group-distributionally-robust optimization steering toward poorly-performing demand patterns.,"Distributionally robust optimization (worst-case over scenario mixtures), adversarial scenario reweighting via a contextual-bandit worst-case estimator (CB-WCE), two-timescale adversarial training, PPO-based MARL with CTDE and parameter sharing."
124,2025,"Sustainability 2025, 17, 10056 (MDPI)",6,Manuel Augusto Vieira; Gonçalo Galvão; Manuela Vieira; Mário Véstias; Paula Louro; Pedro Vieira,"DEETC-ISEL/IPL, Lisboa, Portugal; UNINOVA-CTS and LASI, Caparica; NOVA School of Science and Technology; INESC INOV; Instituto de Telecomunicações, Instituto Superior Técnico",Robustness under partial observability / incomplete and noisy data; partial communication failures and partial network visibility; resilience to congestion spillback. (Not adversarial/worst-case robustness in the robust-MDP sense.),Decentralized MARL with shared replay/global Deep Q-Network (DQN); neighbor-influenced Q-value updates; rule-based adaptive phase-duration mechanism (SAPA); Visible Light Communication (VLC) as the communication layer
126,2025,"Not specified (arXiv preprint, 2025)",5,Guangyi Liu; Suzan Iloglu; Michael Caldara; Joseph W. Durham; Michael M. Zavlanos,"Amazon Robotics; Department of Mechanical Engineering and Materials Science, Duke University",Distribution shift / distributional uncertainty in the reward function (specifically uncertain and dynamic package induction-rate distributions); out-of-distribution (OOD) robustness; adversarial variations in induction distributions,"Group distributionally robust optimization (group DRO), distributionally robust Bellman operator, worst-case (minimax over distribution groups) optimization, value decomposition (VDN), DQN, contextual bandit-based worst-case predictor"
127,2021,"Not specified (arXiv preprint arXiv:2101.03273v2 [cs.NI], 29 Mar 2021)",7,Saeed Kaviani; Bo Ryu; Ejaz Ahmed; Kevin Larson; Anh Le; Alex Yahja; Jae H. Kim,"EpiSys Science, Inc.; Boeing Research and Technology","Environment dynamics / distribution shift in network conditions (network size, mobility/dynamic level, traffic dynamics, topology change); robustness/scalability to scenarios outside the trained range (out-of-distribution generalization). Domain context is highly dynamic / tactical MANETs with link outages, jamming, and unpredictable mobility.",Multi-agent deep reinforcement learning (MADRL); hybrid of MADRL with classical Q-learning-based routing (CQ+/SRR); CTDE with parameter sharing; PPO policy optimization; Dec-POMDP formulation
128,2021,MILCOM 2021 (2021 IEEE Military Communications Conference),7,Saeed Kaviani; Bo Ryu; Ejaz Ahmed; Kevin Larson; Anh Le; Alex Yahja; Jae H. Kim,"EpiSys Science, Inc.; Boeing Research and Technology","Environment/distribution shift robustness and scalability — robustness to changes in network size, mobility/topology dynamics, and traffic load (deployment in scenarios outside the trained range); sim-to-deploy generalization for MANET routing. (Not an adversarial/attack threat model.)",Cooperative MADRL; Dec-POMDP; centralized training with decentralized execution (CTDE); parameter sharing; policy-gradient / PPO; inverse-RL-inspired reward design; learned control layer on top of a Q-learning-based routing protocol.
131,2025,2025 Asian Conference on Artificial Intelligence Technology (ACAIT) (IEEE),4,Peng Li; Shaofei Chen; Ao Ma; Jing Chen,"College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China","Environmental uncertainties (ocean currents, wind, reefs, exploration risk, noisy/stochastic teammate) and risks from inherent decision-making method errors (overestimation error in value-based MARL)","Distributional MARL (quantile / implicit quantile networks), value decomposition (QMIX-style monotonic mixing), value averaging, operator switching (Max ↔ Mellowmax), CTDE"
132,2025,"Drones (MDPI) 2025, Vol. 9, No. 5, Article 321",3,Mahfizur Rahman Khan; Gowtham Raj Veeraswamy Premkumar; Bryan Van Scoy,"Department of Electrical and Computer Engineering, Miami University, Oxford, OH, USA","Environment/distribution uncertainty (stochastic user distributions, train/test distribution shift) and communication attacks (jamming attacks that disable a UAV and cut its inter-UAV links / agent failure recovery)",Multi-agent deep Q-learning (MADQL/DQN); centralized vs. decentralized (shared-network) training; stochastic-environment training for generalization; heuristic relocation algorithm for jamming recovery
133,,Not specified (technical report; arXiv preprint),3,Jonas De Maeyer; Hossein Yarahmadi; Moharram Challenger,"University of Antwerp (UA) and Flanders Make (Dept. of Computer Science); Ayatollah Boroujerdi University, Boroujerd, Iran (Dept. of Computer Engineering)","Environment/model uncertainty from dynamic obstacles (obstacles change over time, introducing uncertainty); robustness here means reliable adaptation/replanning when the maze layout changes, not adversarial or distributionally-robust MARL.","Hierarchical (quadtree) decomposition of the environment, tabular Q-learning, federated Q-learning (FedAsynQ), success-rate-based conditional retraining; DTDE (single-agent) and CTDE (federated within a sub-environment)."
135,2024,"IEEE Transactions on Intelligent Vehicles, Vol. 9, No. 1, January 2024",5,Shutong Chen; Guanjun Liu; Ziyuan Zhou; Kaiwen Zhang; Jiacun Wang,"Department of Computer Science, Tongji University, Shanghai, China; Department of Computer Science and Software Engineering, Monmouth University, West Long Branch, NJ, USA","Sim-to-real gap / environment (model) uncertainty modeled via domain randomization parameters (e.g., main engine strength, GPS position noise, and other physical-property variations); worst-case over randomization parameters.","Adversarial training with a ""nature player"" (adversarial environment generator), adversarial stationary Markov game, minimax (max over agent policy / min over randomization parameter), game-theoretic Nash equilibrium, R-MADDPG actor-critic, prioritized experience replay."
136,2023,2023 IEEE International Conference on Robotics and Biomimetics (ROBIO) 2023,3,Julian Bialas; Mario Doeller; Robert Kathrein,"FH Kufstein Tirol – University of Applied Sciences, Kufstein, Austria; University of Passau, Germany; Josef Ressel Center for multimedia analysis in the mobility domain (Vision2Move)","Agent failure / fault tolerance (an agent unexpectedly terminates or collides mid-mission) and dynamic environment changes (changes in the target area mid-flight); generalization over all system parameters. Note: ""robustness"" here is empirical/qualitative (low variance, reacting to in-flight disruptions), not a formal robust-MDP / adversarial / minimax setting.","Model-free deep reinforcement learning (Proximal Policy Optimization, PPO) under a Dec-POMDP formulation; centralized training with decentralized execution (CTDE); actor-critic with convolutional networks"
137,2025,"IEEE Internet of Things Journal 2025 (Vol. 12, No. 23, 1 December 2025)",6,Shi Li; Jiong Jin; Mahbuba Afrin; Xiaohua Ge; Jing Fu; Yu-Chu Tian,"Swinburne University of Technology (School of Science, Computing and Engineering Technologies), Melbourne, Australia; Curtin University; RMIT University; Queensland University of Technology","Model uncertainty (unknown reward functions of other robots and system transition dynamics), observation/communication noise, reward uncertainty; UAV/hardware failures and network instability (system resilience)","Robust MADDPG (RMADDPG) — MADDPG with an adversarial ""nature player""; domain randomization; partially observable Markov game (POMG) / Nash equilibrium; CTDE actor-critic"
138,2025,"WCNA 2023 (Proceedings published in LNEE vol. 1361, pp. 211–218, Springer, 2025)",7,Dibao Yan; Yongfeng Wang; Wenjing Hou; Huanhuan Song; Hong Wen; Wendi Ma; Fan Sun,"School of Aeronautics and Astronautics, University of Electronic Science and Technology of China (UESTC), Chengdu, China; Aircraft Swarm Intelligent Sensing and Cooperative Control Key Laboratory of Sichuan Province; Sichuan Intelligent IoT Communication Technology Engineering Research Center, UESTC","Malicious/Byzantine nodes in federated aggregation; reward poisoning (reward inversion / ""reward flip"" attack); fault tolerance against corrupted model updates",Multi-agent deep RL (TD3) + federated learning (FedAvg) with statistical outlier detection (Euclidean distance + Modified Z-score / MAD) for malicious-node filtering
141,2020,2020 IEEE 16th International Conference on Control & Automation (ICCA),4,Weiren Kong; Deyun Zhou; Kai Zhang; Zhen Yang,"Northwestern Polytechnical University, Xi'an, China","Robustness to opponent policy changes / adversarial opponent perturbation (worst-case perturbation of the opponent's action in a competitive game), addressing environment non-stationarity in the multi-agent setting.","Robust MADDPG (minimax / worst-case perturbation via 1-step gradient adversarial training), zero-sum Markov game, actor-critic with CTDE, potential-based reward shaping."
142,2025,"IEEE Transactions on Dependable and Secure Computing, Vol. 22, No. 6, November/December 2025",6,Shigen Shen; Tao Hong; Yizhou Shen; Xiaoping Wu; Jingnan Dong; Jie Wu,"School of Information Engineering, Huzhou University, China (also Zhejiang Key Laboratory of Industrial Solid Waste Thermal Hydrolysis Technology and Intelligent Equipment); School of Computing, Newcastle University, U.K.; China Telecom Cloud Computing Research Institute & Center for Networked Computing, Temple University, USA","State/observation perturbation (bounded adversarial perturbation δ on observations, ‖δ‖∞ ≤ ε), environmental uncertainty (ξ ~ N(0, σ²)), and adversarial/malicious agents (malicious SIoT nodes as attackers) under ""dual non-stationarity""","Markov game (minimax / maxmin worst-case), multi-agent actor-critic (MADDPG-based), value decomposition (mixing network with monotonicity constraint), adversarial training via state perturbation, game-theoretic equilibrium (robust Nash equilibrium), SHAP-based explainability"
143,2026,"Applied AI Letters 2026 (Letter; received 14 March 2025, accepted 26 October 2025)",3,Andrew Thomas; Matthew Yates; Oliver Osborne,"Raytheon Strategic Research Group, Raytheon UK, Harlow, Essex, UK","Robustness to changes in the environment/task (network scale, attack scenario, and level of network activity); transferability across action/observation space scales. Not adversarial/worst-case robustness — robustness here means generalization stability under distribution shift (IID and OOD context shifts) of the cyber-defence task.",Cooperative MARL with CTDE; zero-shot transfer learning; task partitioning into node-level POMDPs; network-invariant local agents; PPO-based actor-critic (IPPO/MAPPO/HAPPO); Spatial Pyramidal Pooling for fixed-length observations.
144,2025,IEEE NetSoft 2025 (2025 IEEE 11th International Conference on Network Softwarization),3,Laurin Holz; Johannes Loevenich; Roberto Rigolin F. Lopes,"Secure Communications & Information (SIX), Thales Deutschland, Ditzingen, Germany","Adversarial resilience and safety of MARL agents in Autonomous Cyber Defence (ACD) under uncertainty, partial observability, and adversarial/unexpected inputs (state/observation perturbations, fault tolerance, manipulation); robustness verified via Formal Verification (FV)","Hybrid AI (MARL + symbolic AI / knowledge graphs + augmented/fine-tuned LLMs) combined with Formal Verification (reachability analysis, model checking, fuzz testing, temporal logic, theorem proving, abstract interpretation); curriculum learning; CTDE; human-in-the-loop verification"
145,2025,AAAI Summer Symposium Series (SuSS-25) 2025,1,Saad Alqithami,"Computer Science Department, Al-Baha University, Albaha, Saudi Arabia","Adversarial agents / adaptive (AI-driven) cyber attacks against Cyber-Physical Systems (CPS); the attacker is modeled as an explicit learning adversary that performs scanning, denial-of-service, lateral movement, and data tampering; resilience against zero-day / previously unseen attack strategies.","Hierarchical MARL (local defender agents + global coordinator), adversarial training loop (co-trained learning attacker), Markov game / game-theoretic equilibrium (local Nash equilibrium), minimax-style training, PPO with GAE, hierarchical multi-critic."
146,2026,"AAAI 2026 (copyright notice ""© 2026, Association for the Advancement of Artificial Intelligence""); arXiv preprint",3,Jiayi Chen; Jing Li; Guiling Wang,"Department of Computer Science, New Jersey Institute of Technology","Market non-stationarity / regime shift (bull vs. bear vs. volatile markets); financial tail risk and sudden market shocks. ""Robustness"" here means a disciplined portfolio that holds up across changing market regimes — not adversarial attacks or formal model uncertainty.","Risk-sensitive / risk-aware RL (Safety-Critic with safety threshold and penalty), hierarchical meta-learning controller, heterogeneous multi-agent ensemble, DDPG actor-critic, ensemble weighting (CTDE-style aggregation)."
147,2021,"Not specified (arXiv:2109.06795v1, 14 Sep 2021)",3,Chuangchuang Sun; Dong-Ki Kim; Jonathan P. How,"Laboratory for Information & Decision Systems (LIDS), Massachusetts Institute of Technology","Worst-case policy changes of other (peer/opponent) agents under cyber-physical attacks (communication hijack, observation perturbations); non-stationarity caused by concurrently learning agents; action perturbations of other agents within an l_p ball","Minimax MARL, adversarial training, convex relaxation of neural networks (certified robustness), centralized training with decentralized execution (MADDPG-based)"
148,2020,"Not specified (arXiv:2012.00508v1 [cs.RO], 1 Dec 2020)",3,Rupert Mitchell; Jan Blumenkamp; Amanda Prorok,University of Cambridge (Department of Engineering; Department of Computer Science and Technology),"Adversarial / non-cooperative communication (faulty, misleading or manipulative messages from anonymous non-cooperative agents); communication attacks / fault tolerance in multi-agent systems.",Probabilistic message filtering via confidence weighting; Gaussian Process (GP) prior over per-agent autoencoder latents (AEVB/VAE); Bayesian hypothesis testing (truth vs. plausible/implausible lie); attention-like modification of a GNN aggregation layer.
149,2021,"Not specified (arXiv:2101.06560v2, 12 Oct 2021)",6,James Tu; Tsunhsuan Wang; Jingkang Wang; Sivabalan Manivasagam; Mengye Ren; Raquel Urtasun,Waabi; University of Toronto; MIT (work done while all authors were at Uber ATG),Communication attacks — adversarial perturbation of learned intermediate representations (feature-map messages) exchanged between cooperative agents; malicious/compromised agents,"Adversarial attack generation (PGD/FGSM), adversarial training defense, robust aggregation (median/soft-median pooling), black-box transfer attacks with adversarial domain adaptation (ADDA), online attacks exploiting temporal consistency"
150,2023,"Journal of Machine Learning Research (JMLR) 24, 2023",4,Shaocong Ma; Ziyi Chen; Shaofeng Zou; Yi Zhou,"University of Utah (ECE); University at Buffalo, SUNY (EE)",Environment model uncertainty (uncertain transition kernel queried from an uncertainty set; sim-to-real / model mismatch gap),"Robust Markov game theory, robust correlated equilibrium, decentralized V-learning, robust TD learning, worst-case (minimax) value function, distributionally robust (KL / R-contamination uncertainty sets)"
152,2024,"Neural Networks (Preprint, 2024)",12,Simin Li; Jun Guo; Jingqiao Xiu; Yuwei Zheng; Pu Feng; Xin Yu; Jiakai Wang; Aishan Liu; Yaodong Yang; Bo An; Wenjun Wu; Xianglong Liu,"State Key Lab of Software Development Environment, Beihang University; Zhongguancun Laboratory; Institute of Data Space, Hefei Comprehensive National Science Center; Institute of Artificial Intelligence, Peking University; Nanyang Technological University, Singapore","Adversarial agents / adversarial policy attack on cooperative MARL (test-time, black-box, policy-based attack where a single agent in the environment influences victim agents); used as a worst-case robustness evaluation / algorithmic testing tool.","Adversarial policy attack, mutual-information-based unilateral influence (information-theoretic decomposition), reinforcement-learning-driven target oracle, PPO/GAE optimization, contraction-operator (Bellman) convergence analysis."
154,2023,"Not specified (arXiv:2209.08230v2, 27 Sep 2023)",5,Sihong He; Yue Wang; Shuo Han; Shaofeng Zou; Fei Miao,"University of Connecticut (Computer Science and Engineering); University at Buffalo, SUNY (Electrical Engineering); University of Illinois, Chicago (Electrical and Computer Engineering)","Model uncertainty — uncertainty in the state transition probability kernel (sim-to-real gap), modeled via a δ-contamination uncertainty set; combined with safety/fairness cost constraints",Robust + constrained MARL; worst-case (max-min) value over an uncertainty set; Lagrangian / primal-dual (gradient descent ascent); robust natural policy gradient (RNPG); CTDE actor-critic
155,2023,Under review as a conference paper at ICLR 2023,1,Anonymous authors,Not specified (anonymized),Adversarial state/observation perturbation (attack on the victim agents' state input); evaluation of c-MARL robustness via adversarial attacks; victim-agent selection.,Model-based adversarial attack; learned dynamics model + targeted failure state; constrained nonconvex optimization solved by proximal/projected gradient (PGD); mixed-integer program relaxed to a softmax-weighted neural selector for victim choice.
156,2023,"Not specified (arXiv preprint, 2023)",3,Maxwell Standen; Junae Kim; Claudia Szabo,Defence Science and Technology Group; The University of Adelaide,"Execution-time adversarial (AML) attacks against MARL/DRL: action perturbation, observation perturbation, communication perturbation, malicious communications, natural adversarial examples; defences including adversarial training, competitive training, robust learning, certified robustness, input alteration","Systematization of Knowledge (SoK) / survey; taxonomy construction (Attack Vectors); new modelling frameworks (OA-POSG, AR-POSG); literature review methodology"
157,,Not specified (arXiv preprint),2,Guanlin Liu; Lifeng Lai,"Department of Electrical and Computer Engineering, University of California, Davis",Adversarial attacks on MARL — reward poisoning and action poisoning (and their mixture) by an exogenous attacker sitting between agents and environment; attacker forces agents to a target policy or maximizes an attacker-chosen reward function.,"Poisoning attack design and analysis (action poisoning, reward poisoning, mixed attack), Markov games, equilibrium (NE/CE/CCE) manipulation, regret-based cost/loss bounds, exploration-then-attack for the black-box setting."
